Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
todoapp,Chrome 81.0.4044.129,,,2020-06-02 04:05:58,2020-06-02 04:06:13,15.685s,PASSED
,,,,,,,
Test Cases/todoapp-test,Chrome 81.0.4044.129,,,2020-06-02 04:05:58,2020-06-02 04:06:13,15.029s,PASSED
"openBrowser("""")",Chrome 81.0.4044.129,,,2020-06-02 04:05:59,2020-06-02 04:06:07,7.921s,PASSED
"navigateToUrl(""http://a76b50877cf1c11e9af7c0a6a4a42d3b-1168106156.ap-southeast-1.elb.amazonaws.com:8085/"")",Chrome 81.0.4044.129,,,2020-06-02 04:06:07,2020-06-02 04:06:09,2.158s,PASSED
"setText(findTestObject(""Object Repository/Page_AngularFrontend/input_title""), ""hello world"")",Chrome 81.0.4044.129,,,2020-06-02 04:06:09,2020-06-02 04:06:10,1.147s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_AngularFrontend/input_title""), Keys.chord(ENTER))",Chrome 81.0.4044.129,,,2020-06-02 04:06:10,2020-06-02 04:06:11,0.465s,PASSED
"click(findTestObject(""Object Repository/Page_AngularFrontend/click_tick""))",Chrome 81.0.4044.129,,,2020-06-02 04:06:11,2020-06-02 04:06:11,0.415s,PASSED
"click(findTestObject(""Object Repository/Page_AngularFrontend/click_edit""))",Chrome 81.0.4044.129,,,2020-06-02 04:06:11,2020-06-02 04:06:12,0.476s,PASSED
"setText(findTestObject(""Object Repository/Page_AngularFrontend/input_edit""), ""hello world 123"")",Chrome 81.0.4044.129,,,2020-06-02 04:06:12,2020-06-02 04:06:13,0.899s,PASSED
"click(findTestObject(""Object Repository/Page_AngularFrontend/click_done""))",Chrome 81.0.4044.129,,,2020-06-02 04:06:13,2020-06-02 04:06:13,0.363s,PASSED
"click(findTestObject(""Object Repository/Page_AngularFrontend/click_undo_tick""))",Chrome 81.0.4044.129,,,2020-06-02 04:06:13,2020-06-02 04:06:13,0.363s,PASSED
closeBrowser(),Chrome 81.0.4044.129,,,2020-06-02 04:06:13,2020-06-02 04:06:13,0.106s,PASSED
